BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
siar,,sial (rezeki),"bad luck, unfortunate",a,rabut daintisiq sion siar,pakaian robek karena sial,clothes torn due to bad luck,
siaun,,tampi,"winnowing basket, sieve for rice",n,,,,
sibuq,,teka-teki,puzzle,n,,,,
sibur,,anak burung tidak kembali ke sarangnya,young bird does not return to its nest,,,,,
sidaq,,coba,try,v,,,,
sidatn,,rak pakaian,"clothes rack, wardrobe rack",n,,,,
sidok,,sendok untuk menggoreng,"spatula, frying ladle",n,,,,
sidok sodek,,"orang kelelahan, habis kerja diterik matahari ","exhausted person, weary from working under the sun",n,,,,
sigar sigir,,orang yang tertawa tanpa sebab,"giggler, person laughing without reason",n,,,,
sijau,,ayam hutan,"junglefowl, genus Gallus",n,,,,
sikaq,,cepat,quick,a,,,,
sikatn,,bertamu,to visit,v,,,,
siketn,,bertandang,"to drop by, to come over",v,,,,
sikuq,,siku,elbow,n,,,,
silai,,sebelah; separuh,a half,num,,,,
silai mooq,,bagian atas,"upper part, top",n,,,,
silai nukng,,sebelah hulu,"upstream side, upriver",n,,,,
silai ulai,,sebelah kiri,left side,n,dacukng silai ulai meem jooq,duduklah di sebelah kiri ibumu,sit to the left of your mother,
silaq,,bela,"to defend, to side with",v,,,,
silih,,pengganti,"subtitute, replacement",n,,,,
simai,,bertukar,"to exchange, to swap",v,,,,
simpaq,,sirih yang sudah digulung lengkap,a complete rolled betel quid,n,,,,
simpiq,,panci; kuali; wajan,"pot; cauldron; wok, pan",n,tolong koq ngesok simpiq jooq,tolong kamu geser panci itu,please move that pot,
simpukng,,kebun buah-buahan,orchard,n,,,,
simpukng bungaq,,pelipis,temple (of the head),n,,,,
simpukng owai,,padi yang belum dituai untuk benih.,"standing rice reserved for seed, rice left unharvested for seed",n,,,,
simpun,,membenahi,"to fix, to tidy up, to arrange",v,,,,
sinaai,,tukar,"exchange, swap",v,,,,
sinaak,,racun yang dipasang pada anak sumpit terbuat dari tumbuhan hutan,the poison used on the blowpipe darts is derived from wild forest plants.,n,,,,
sineq,,sekali; satu kali,one time,num,,,,
singah,,singgah,to stop by,v,lonya kawaaq akuq singah diq dapeeq,bolehkah saya singgah ke rumah,can I stop by the house,
singah,,labuh (berlabuh),"to anchor, to dock (of a boat or ship)",v,aluur singah nyi usur,perahu berlabuh tadi pagi,the boat anchored this morning,
singaq,,insang,gills,n,,,,
singit,,merajuk,"to sulk, to pout",v,,,,
singkat,,kata menyesal,"an expression of regret, words of apology",n,,,,
sinir,,menyindir,"to insinuate, to make a sarcastic remark,  to mock indirectly",v,,,,
sinu,,oleh karena itu,"therefore, for that reason, that’s why",p,,,,
sion,,karena,because,p,sion aneh saq tih jadin musuh latala,,,
sion,,karena,because,p,"sion kaheq neau taoq ulay watu kotas, uhaq tenabrak motor","karena tidak melihat kanan kiri waktu menyeberang, dia tertabrak motor","because he didn't look left and right side when crossing, he was hit by a motorbike.",
sion,,karena,because,p,ewah ja umaq teloh balik sion ucatn.,mau ke ladang tetapi tidak jadi karena hujan.,planned to go to the field but canceled because of the rain,
siook,,alat untuk menangkap ikan atau udang,a fishing or shrimp-catching device,n,,,,
sioon,,karena,because,p,pelek sepeda Roni bilukng sioon tesaluh tehunguq.,pelek sepeda Roni meleot karena manabrak tunggul. ,Roni’s bicycle rim got bent because it hit a stump,
sipai,,sejenis ikatan untuk merangkai anjat (kerajinan),a type of knot used for weaving anjat (a traditional woven backpack).,n,,,,
sipaq,,tulang pipi ikan,fish cheekbone,n,,,,
sipoq,,untung tidak terjadi; hampir,"luckily it didn’t happen; almost, a near miss",a,,,,
sipoq sipai,,untung tidak melakukannya,fortunately (he/she) didn’t do it,a,,,,
siq,,dahulu kala,"long ago, once upon a time",adv,,,,
sirak,,teresedak air,choked on water,v,,,,
siratn,,"racun terbuat dari tumbuhan hutan (siratn, sinaak) yang dipasang pada anak sumpit","poison made from forest plants (siratn, sinaak) applied to blowpipe darts",n,,,,
sirup,,menyeruput (kuah),"to sip (the broth), to slurp (the soup)",v,,,,
sisip,,rinci,"detailed, thorough",a,,,,
situn,,katu/cangkok manis,"star gooseberry leaf, sweetleaf (Sauropus androgynus)",n,,,,
siwau,,jenis rambutan,a variety of rambutan,n,,,,
soau,,menguap,to yawn,v,,,,
soba,,coba,try,v,,,,
sogau,,ompong,toothless,a,,,,
sokapm,,pilek; flu,"cold, flu",a,,,,
solok,,lemang,glutinous rice cooked in bamboo,n,,,,
soloq,,kotak korek api,matchbox,n,,,,
somok,,rasa senang,"feeling of happiness, joy, pleasure",a,,,,
somong,,sombong,"arrogant, proud",a,,,,
soncok,,sudut,corner,n,,,,
songkok,,peci,"cap, songkok, Muslim cap",n,,,,
sonokng,,condong,"leaning, inclined, slanted",a,,,,
sooq,,sudah,"already, yet",adv,nyah sooq kapm kiteq lengan kajuq bukit krewau beheq dang kokoq,sudah kalian lihat pohon kayu bukit kerbau kambing dan anjing,"have you seen the trees, hills, buffalo, goats and dogs?",
sopatn,,danau di tengah rimba,lake in the middle of the jungle,n,,,,
sor,,pancing; kail,"fishing hook, fisihing rod",n,,,,
sorekng,,sifilis,syphilis,n,,,,
sorok,,daerah terpencil,"remote area, isolated region",n,,,,
sorokng,,sorong,to push ,v,,,,
sorong tanaq,,bertunangan,engaged (to be engaged),v,,,,
sorop,,rindu,miss,v,,,,
sosok,,sesuai; cocok,"suitable, appropriate, fitting",a,,,,
soter,,gampang,easy,a,,,,
soyer,,damak (sumpitan),"blowpipe dart, blowgun dart",n,,,,
soyoq,,bergaul,"to socialize, to associate",v,,,,
soyu,,sejenis burung,"a kind of bird, a species of bird",n,,,,
su,,suluh yang terbuat dari bambu dan dari kulit kayu tertentu,a torch made of bamboo and certain types of bark,n,,,,
suah,,biasa,"ordinary, usual, common",a,,,,
suakaq,,kerja bakti,"communal work, community service",n,,,,
suar,,lampu tembok yang dikasih kap untuk menangkap ikan pada malam hari,"a fishing lamp with a shade, used at night to attract and catch fish",n,,,,
subakng,,anting ,earring,n,kabatn waweeq biasake ehau makai subakng diq neneng,kaum wanita biasanya suka memakai anting di telinga,women generally like to wear earrings on their ears,
sudak,,selesai,finish,v,,,,
sudak sude,,selesai karena perbuatan yang dilakukannya ,"settled/finished because of his (own) actions, resolved due to what he did",v,,,,
sudu,,sendok makan,tablespoon,n,,,,
suekng,,kain yang dibuat dari kulit kayu,bark cloth,n,,,,
suen,,pikul,"to carry on the shoulder, to carry with a pole",v,,,,
suit,,burung yang sering mendatangkan tumbuh bemalu dipohon,a bird that often causes mimosa (sensitive plant) to grow on trees,n,,,,
suka,,bambu yang dicacah untuk bakar ladang,"slashed bamboo for burning fields, chopped bamboo for field burning",n,,,,
sukat,,sampai,to,p,eraq tagaq sukat telakng -tengai,mereka tertawa sampai terpingkal-pingkal,they laughed uncontrollably.,
sukatn,,gong,gong,n,,,,
suke,,cukai,"tax, excise, duty",n,,,,
suket,,ukuran (panjang),"measurement (length), length dimension",n,,,,
sukur,,penahan agar tidak roboh,"support to prevent collapsing, prop, brace",n,,,,
sulakng,,seludang,"spathe, sheath",n,,,,
sular,,butir,"grain, seed, piece, item",n,Pahagiq telo manuk jooq tusan sular sekongaq!,bagi telur ayam itu satu butir per orang,"distribute the chicken eggs, one per person",
sular,,satu,one,num,,,,
sulau,,cincin dari tanduk,ring made of horn,n,,,,
sulet,,kambuh,"relapse, recur",a,,,,
sulet,,sekatan,"partition, barrier, divider",n,,,,
suli,,hidup kembali,"come back to life, revive",v,,,,
sulikng,,suling,flute,n,,,,
suliq,,tunas,"shoot, bud",n,,,,
sului,,tusuk sate,skewer (satay skewer),n,,,,
suma,,cuma,"only, just",adv,,,,
sumekng,,salah (karena berselingkuh),at fault (for cheating) / wrong (because of infidelity),a,,,,
sumiq,,kumis,moustache,n,,,,
sumpah sepuq,,sumpah serapah,"curses, swear words",n,,,,
sumpuk,,tempat rokok atau kinangan,container for tobacco or betel quid,n,,,,
sunak,,tertusuk kayu pada telapak kaki,a splinter of wood stuck in the sole of the foot,v,,,,
sunat,,khitanan,circumcision,n,,,,
Sunei Barito,,Sungai Barito,Barito river,n,,,,
sungai,,sungai,river,n,,,,
sungai,,sungkai; Peronema canescens,sungkai tree (Peronema canescens),n,,,,
sungaq,,ranjau,landmine,n,,,,
sungkat,,turun dari kapal,"to disembark from a ship, to get off the boat",v,,,,
sunikng,,sariawan,"canker sore, mouth ulcer",n,,,,
sunpaaq,,sandal,sandal,n,,,,
sunur,,sundul,"to head-butt, to gore",v,,,,
suo,,sadar,"conscious, aware",a,,,,
suo,,kedatangan tamu,the arrival of guests,n,,,,
supak,,pipa untuk merokok yang terbuat dari kayu atau tanduk rusa,a smoking pipe made of wood or deer antler,n,,,,
supukng,,tidak punya keturunan,"childless, having no descendants",n,,,,
surga,,surga,heaven,n,onaq akuq sooq ngaq selatn yaq surga dang na,,,
surikng,,lentik,tapered,a,ompor gerigiiq tuhi aneh suriikng,ujung jari tangan anak itu lentik,the child's fingertips are tapered,
surok,,terjadi demikian,that’s what happened,,,,,
suruh,,pesuruh; wakil,messenger; representative,n,,,,
susah,,rumit; ruwet,complicated; tangled/ complex; intricate,a,,,,
susu,,susu,milk,n,,,,
sutn,,perangkap tenggiling,pangolin trap,n,,,,
suu,,obor dari kulit kayu,"bark torch, torch made of bark",n,,,,
suut,,kadut,"sack, bag",n,,,,
taai,,kita,we,pron,nyama temolaq taai taotn tih,apa yang kita tanam tahun ini,What are we planting this year?,
tabar,,suapan (nasi),a spoonful (of rice),n,,,,
tabas,,menjadi abdi,to become a servant,v,,,,
tabek,,akar wangi,vetiver root,n,,,,
tabeq,,tabik; salam; permisi,"greeting, salutation; excuse",n,Tabeq ewah libas aleq,permisi mau lewat dulu,"excuse me, may I pass through?",
tabitn,,belahan,part / piece / half / split / section,n,,,,
tabo,,berkumpul,"gather, assemble",v,,,,
tades,,landasan,foundation / base / platform / runway / ground,n,,,,
tagaq,,tertawa,laugh,v,eraq tagaq sukat telakng -tengai,mereka tertawa sampai terpingkal-pingkal,They laughed so hard,
tageh,,tagihan,bill / invoice / charge / payment due,n,tageh utakng yaq adiq jooq anyan kae teloh kuto,tagihan utang yang banyak itu membuatnya gila.,Those huge debt bills drove him crazy,
tagoi,,panggilan,call / summons / nickname / vocation,n,,,,
tagooi,,lagu,song,n,,,,
tahariq,,pelangi,rainbow,n,,,,
tahont aluq,,tahun lalu,last year,adv,,,,
tahu,,tahu,"know, understand",v,,,,
tahui,,selanjutnya; seterusnya,next/thereafter / afterwards,adv,,,,
taitn kesikng,,tahi gigi,dental plaque / tartar / tooth dirt,n,,,,
tajau,,guci,jar / urn / vase / pot,n,,,,
tajiq,,taji,spur,n,,,,
tajoor,,pancing; kail,fishing rod,n,,,,
tajung,,kain sarung; kain tidur,"wrap cloth, sleeping cloth",n,,,,
taker,,batuk,cough,n,,,,
takitn,,permintaan,"request, demand",n,,,,
tala,,terang (sinar),bright / light / clear / luminous,,Kalapm tih ulatn tala,Malam ini bulan terang,The moon is bright tonight,
tala,tala was,terang benderang,very bright / brightly lit / full of light,a,Pelita tembok diq dapen boq lihaq tala was,Lampu tembok di rumah kakek terang sekali,The wall lamp in Grandpa’s house is very bright.,
tali,,keladi,taro / yam / colocasia,n,,,,
tali,tali bahookng,keladi merah,red taro,n,,,,
taliq,,tali; ikatan,"rope, ties",n,manuk temecat dang taliq nilon,ayam diikat menggunakan tali nilon,the chicken is tied using a nylon rope,
taliq,taliq keroop,tali dari kulit kayu,rope made of bark,n,,,,
taliq,taliq pantai,tali jemuran,clothesline,n,noka saq taliq pantai diq telamaq dapeeq jooq!,lepaskan saja tali jemuran di depan rumah itu !,"please,take down the clothesline in front of the house!",
taliq,taliq pusat,tali pusar,umbilical cord,n,pemusuuq notok taliq pusat ngaq dang senpiluuq,bidan kampung itu memotong tali pusar menggunakan senbilu.,The village midwife cut the umbilical cord using a sembilu.,
taliq,taliq sepatu,tali sepatu,shoelace,n,koq necat taliq sepatu bih lojooq?,kamu mengikat tali sepatu kok begitu?,Why do you tie your shoelaces like that?,
talitn rukuq,,cambang,sideburns,n,,,,
taloh,,tetapi,but,conj,Kaat meriwih taloh bakooi.,Dwi pergi memancing tetapi tidak dapat apa-apa.,Dwi went fishing but seh got nothing.,
talutn,,hutan,forest,n,talutn adat dahapm gai kee,hutan adat banyak rotan nya,customary forests have lots of rattan,
talutn,talutn henaaq,hutan rimba yang belum pernah dibuka ,jungle,n,,,,
talutn,talutn mooq,daratan,mainland,n,,,,
tama,,tambahan,"additional, extra, bonus",n,,,,
tamai,,ayah,father,n,Tamaai ke naco sepeda motor ja anak ke.,Ayahnya memberi sepeda motor kepada anaknya.,His father gave his son a motorbike.,
tamak,,jalanan,street,n,,,,
taman,,ayah,father,n,taman Dora jooq kaheeq muruuq man bancaan alkohol,ayah Dora tidak minum minuman sejenis alkohol,Dora's father does not drink alcoholic beverages,
tamaq,,masuk,"enter, get in, come into",v,sion dodong sah kaheq tamaq kerjaq,"karena sakit, dia tidak masuk kerja","because he was sick, he didn't come to work",
tamaq,tamaq papat,ayah tiri,step father,n,,,,
tame,,pelebaran,widening,n,,,,
tamekng,,gelang,bracelet,n,,,,
tampakn,,batuan (emas),gold rock,n,,,,
tampes,,melompat dari dahan ke dahan,jump from branch to branch,v,,,,
tampukng,,ikatan padi muda,young rice ties,n,,,,
tanak,,jalanan,street,n,,,,
tanakng,,gelang,bracelet,n,,,,
tanam,,tanam,garden,n,,,,
tanaq,,tanah,"land, soil",n,regan tanaq kedaq tih nahar lebi.,harga tanah sekarang ini nahal sekali.,the current price of land is very expensive.,
tanaq,tanaq angkekng,tanah gersang,barren soil,n,nya bih baq polaq ewah tumuq diq tanaq angkekng loneq.,mana ada tanaman yang mau tumbuh di tanah gersang begini.,it is impossible for plants to grow in such barren soil.,
tanaq,tanaq tanpek noek,tanah subur,"fertile soil, arable land",n,ehau ogeq asakng baq unaq diq tanaq tanpek noek,senangnya hati memiliki ladang di tanah subur,I am happy to have a field on this fertile land,
tangep,,jaring ikan,fishing nets,n,,,,
tanggok,,tangguk,"baskets made of rattan or nets with frames (for catching fish, shrimp, etc.);",n,,,,
tangi,,suara tangis,"crying sound, cries",n,,,,
tangkap,,pondok; teratak; dangau,hut,n,,,,
tangkap,,bekerja,work,v,ehau asakng ulih agi berdohai eteq tangkap,hati senang bisa terlepas dari kesibukan bekerja,It is pleasure that we can be free from the routine work activity,
tangkei,,tangkai,handle,n,,,,
tangkup,betangkup,bertutup,having a cover,v,,,,
tango,,puji,praise,v,,,,
tangukng,,tanggung,not quite enough,adv,,,,
tangur,,mendatangi kejadian,come to the incident,v,,,,
tanoh,,buah pinang,areca nut,n,,,,
tantai,,alat penangkap ikan,fishing gear,n,,,,
tantakng,,bertengkar,quarrel,v,kabatn tuhi tantakng bayaq main layang-layang,anak-anak bertengkar waktu main layang-layang,children quarreled while they were playing kites,
tantatn,,menadahkan wadah,holding up the container,v,,,,
tantekng,,debat kusir,coachman debate,n,,,,
tanuk,,tanduk,horn,n,tanuk kerewau aneh pelak,,,
tanyer,,pingsan; koma,"fainted, coma",a,,,,
tanyo,,hancur,"wrecked, destroyed",a,,,,
tanyukng,,tanjung,"cape, headland",n,,,,
taoq,,kanan,right,a,"sion kaheq neau taoq ulay watu kotas, uhaq tenabrak motor","karena tidak melihat kanan kiri waktu menyeberang, dia tertabrak motor","because he didn't look left and right side when crossing, he was hit by a motorbike.",
taotn,,tahun,year,n,taotn ado koq lahir,tahun berapa kamu lahir,In what year were you born,
taotn,taotn alui,tahun lalu,last year,n,saq nemaq taotn alui siiq,dia meninggal tahun lalu,he died last year,
taotn,taotn amaq,tahun depan,next year,n,taotn amaq saq muliq,tahun depan dia pulang,he will go home next year,
taotn,taotn telamaq,tahun depan,next year,n,taotn telamaq kamiq ewah ngelakuuq bangkai,tahun depan kami akan melaksanakan upara adat jenazah,next year we will hold a traditional funeral ceremony,
tapai,,tapai,tape,n,,,,
tapai,tapai jabaw,tapai singkong,cassava tape,n,,,,
tapai,tapai pulut,tapai ketan,sticky rice tape,n,,,,
tapas,,dahan patah,broken branch,n,,,,
taper,,suap,"mouthful, bribe",n,,,,
tapi,,tapi,but,conj,tapi baq sekongaq yaq paling pejai delapm dunai tih,,,
tapooq,,songkok,"songkok, muslim cap, traditional cap",n,tapoog tenakai uhaaq blaaq,songkok dipakai oleh kakek,songkok is worn by grandfather,
tara,,lemang,"Traditional food typical of Malays and several regions in Indonesia, made from sticky rice and coconut milk cooked in bamboo sticks lined with banana leaves, then grilled over hot coals until cooked.",n,,,,
tareq,,beri,give,v,ja tanai onaq nareqlah retak kepm yaq maun hagiq ko,,,
taruk,,ujung,"end, tip",n,,,,
tasik,,laut,sea,n,,,,
tatau,,hebat,great,a,,,,
tatui,,jatuh,fall,v,,,,
tatui meremimpikng,,tiba-tiba hujan,rain suddenly,adv,,,,
tawa,,tawar (air),freshwater,n,,,,
tawaq,,hilang,lost,v,akui ewah pelau anak sapi kamiq yaq tawaq,saya akan mencari anak sapi kami yang hilang,I will look for our lost calf,
tawaq,,gaib,"occult, magical",a,,,,
tawikng,,kain pembatas,barrier cloth,n,,,,
tayo,,kelelawar kecil,small bat,n,,,,
te usur,,dini hari; pagi buta,dawn,n,,,,
tebab,,telapak tangan diletakkan di kepala,palms placed on the head,n,,,,
tebaliq,,terbalik,reverse,a,,,,
tebokng,,menebang pohon (dua orang atau lebih),cutting the trees,v,,,,
tebor,,datang; timbul,cone,v,,,,
tecaak,,mendirikan,"build, establish",v,,,,
tecak,,cecak; henidactylus frenatus,house lizard,n,,,,
tedeet,,jinjit,tiptoe,v,,,,
tedek,,tato,tattoo,n,,,,
tedut,,berjingkat,tiptoe,v,,,,
tegak,,arak,wine,n,,,,
tegamitn,,menggendong,carry,v,uhaq periro garike samer tengamitn,dia menidurkan adiknya dengan (sambil) menggendong,he put his little brother to sleep while carrying him,
tegap,,memiliki ilmu magis,magical,a,,,,
tegaq,,keras,hard,a,,,,
tegatn,,tempat tidur; kasur; ranjang,bed,n,"awak tiro nooq tegatn, naai saq akuq tiro diweq","kamu tidur di atas ranjang, biar saya tidur di bawah ( di lantai)","You can sleep on the bed, let me sleep on the floor",
tege,,berdiri,stand,v,botoq tege di moo kursi,jangan berdiri di kursi,do not stand on a chair,
tegur,,mendatangi,come to remind,v,,,,
teh,,teh,tea,n,eraq ewah muruq teh apan kuman namit beneh?,mereka mau minum teh atau makan nasi saja?,do they want to drink tea or just eat rice?,
